periodo,cod_provincia,provincia,cod_depto,departamento,titulares_activos,presentismo
2009-10-31,06,Buenos Aires,06274,Florencio Varela,296,0
2009-10-31,06,Buenos Aires,06434,Lanús,1045,0
2009-10-31,06,Buenos Aires,06270,Ezeiza,1299,0
2009-10-31,06,Buenos Aires,06028,Almirante Brown,3,0
2009-10-31,06,Buenos Aires,06091,Berazategui,522,0
2009-10-31,06,Buenos Aires,06539,Merlo,271,0
2009-10-31,06,Buenos Aires,06035,Avellaneda,1098,0
2009-10-31,06,Buenos Aires,06515,Malvinas Argentinas,1,0
2009-10-31,06,Buenos Aires,06371,General San Martín,2,0
2009-10-31,06,Buenos Aires,06805,Tigre,931,0
2009-10-31,06,Buenos Aires,06329,General Las Heras,1,0
2009-10-31,06,Buenos Aires,06408,Hurlingham,486,0
2009-10-31,06,Buenos Aires,06525,Marcos Paz,4,0
2009-10-31,06,Buenos Aires,06560,Moreno,95,0
2009-10-31,06,Buenos Aires,06134,Cañuelas,1,0
2009-10-31,06,Buenos Aires,06427,La Matanza,5,0
2009-10-31,06,Buenos Aires,06412,José C. Paz,3,0
2009-10-31,06,Buenos Aires,06490,Lomas de Zamora,1291,0
2009-10-31,06,Buenos Aires,06260,Esteban Echeverría,4,0
2009-10-31,06,Buenos Aires,06658,Quilmes,4,0
2009-10-31,06,Buenos Aires,06497,Luján,3,0
2009-10-31,06,Buenos Aires,06840,Tres de Febrero,1,0
2009-10-31,06,Buenos Aires,06410,Ituzaingó,1,0
2009-10-31,06,Buenos Aires,06760,San Miguel,4,0
2009-10-31,22,Chaco,22140,San Fernando,2,0
2009-11-30,06,Buenos Aires,06035,Avellaneda,1502,0
2009-11-30,06,Buenos Aires,06161,Carmen de Areco,1,0
2009-11-30,06,Buenos Aires,06126,Campana,377,0
2009-11-30,06,Buenos Aires,06274,Florencio Varela,1542,0
2009-11-30,06,Buenos Aires,06245,Ensenada,301,0
2009-11-30,06,Buenos Aires,06091,Berazategui,1299,0
2009-11-30,06,Buenos Aires,06070,Baradero,1,0
2009-11-30,06,Buenos Aires,06028,Almirante Brown,741,0
2009-11-30,06,Buenos Aires,06098,Berisso,373,0
2009-11-30,06,Buenos Aires,06357,General Pueyrredón,1,0
2009-11-30,06,Buenos Aires,06134,Cañuelas,1,0
2009-11-30,06,Buenos Aires,06364,General Rodríguez,276,0
2009-11-30,06,Buenos Aires,06329,General Las Heras,251,0
2009-11-30,06,Buenos Aires,06301,General Belgrano,1,0
2009-11-30,06,Buenos Aires,06260,Esteban Echeverría,5,0
2009-11-30,06,Buenos Aires,06408,Hurlingham,500,0
2009-11-30,06,Buenos Aires,06410,Ituzaingó,1,0
2009-11-30,06,Buenos Aires,06658,Quilmes,8,0
2009-11-30,06,Buenos Aires,06252,Escobar,1,0
2009-11-30,18,Corrientes,18021,Capital,1,0
2009-11-30,06,Buenos Aires,06532,Mercedes,284,0
2009-11-30,06,Buenos Aires,06420,La Costa,1,0
2009-11-30,06,Buenos Aires,06270,Ezeiza,1629,0
2009-11-30,06,Buenos Aires,06434,Lanús,1732,0
2009-11-30,06,Buenos Aires,06756,San Isidro,1,0
2009-11-30,06,Buenos Aires,06749,San Fernando,736,0
2009-11-30,06,Buenos Aires,06371,General San Martín,908,0
2009-11-30,86,Santiago del Estero,86049,Capital,1,0
2009-11-30,06,Buenos Aires,06539,Merlo,279,0
